Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BugTrackerUI\BugTrackerUI.csproj,File,BugTrackerUI\BugTrackerUI.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,BugTrackerUI\BugTrackerUI.csproj,File,BugTrackerUI\Program.cs,42,12,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BugTrackerUI.Tests\BugTrackerUI.Tests.csproj,File,BugTrackerUI.Tests\BugTrackerUI.Tests.csproj,,,Microsoft.AspNetCore.Components 9.0.0-rc.1.24452.1,,,,,"Microsoft.AspNetCore.Components, 9.0.0-rc.1.24452.1  Recommendation:  Remove Microsoft.AspNetCore.Components, and replace with new package Microsoft.AspNetCore.Components 10.0.1"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BugTrackerUI.Tests\BugTrackerUI.Tests.csproj,File,BugTrackerUI.Tests\BugTrackerUI.Tests.csproj,,,System.Net.Http 4.3.4,,,,,"System.Net.Http, 4.3.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,BugTrackerUI.Tests\BugTrackerUI.Tests.csproj,File,BugTrackerUI.Tests\BugTrackerUI.Tests.csproj,,,System.Text.RegularExpressions 4.3.1,,,,,"System.Text.RegularExpressions, 4.3.1  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BugTrackerUI.Tests\BugTrackerUI.Tests.csproj,File,BugTrackerUI.Tests\BugTrackerUI.Tests.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\CarvedRock.Admin.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.0-rc.1.24452.1,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 9.0.0-rc.1.24452.1  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\CarvedRock.Admin.csproj,,,Microsoft.AspNetCore.Identity.UI 9.0.0-rc.1.24452.1,,,,,"Microsoft.AspNetCore.Identity.UI, 9.0.0-rc.1.24452.1  Recommendation:  Remove Microsoft.AspNetCore.Identity.UI, and replace with new package Microsoft.AspNetCore.Identity.UI 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\CarvedRock.Admin.csproj,,,Microsoft.EntityFrameworkCore.Design 9.0.0-rc.1.24451.1,,,,,"Microsoft.EntityFrameworkCore.Design, 9.0.0-rc.1.24451.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\CarvedRock.Admin.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 9.0.0-rc.1.24451.1,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 9.0.0-rc.1.24451.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\CarvedRock.Admin.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 9.0.0-rc.1.24451.1,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 9.0.0-rc.1.24451.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\CarvedRock.Admin.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.0-rc.1.24451.1,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.0-rc.1.24451.1  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\CarvedRock.Admin.csproj,,,Microsoft.Extensions.Caching.Memory 9.0.0-rc.1.24431.7,,,,,"Microsoft.Extensions.Caching.Memory, 9.0.0-rc.1.24431.7  Recommendation:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\CarvedRock.Admin.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 9.0.0-rc.1.24457.2,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 9.0.0-rc.1.24457.2  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\CarvedRock.Admin.csproj,,,System.Formats.Asn1 8.0.1,,,,,"System.Formats.Asn1, 8.0.1  Recommendation:  Remove System.Formats.Asn1, and replace with new package System.Formats.Asn1 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\CarvedRock.Admin.csproj,,,System.Text.Json 8.0.5,,,,,"System.Text.Json, 8.0.5  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\CarvedRock.Admin.csproj,,,Azure.Identity 1.13.1,,,,,"Azure.Identity, 1.13.1  Recommendation:  This version takes a dependency on a deprecated version of MSAL .NET (Microsoft.Identity.Client). Remove Azure.Identity, and replace with new package Azure.Identity, 1.17.1"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\CarvedRock.Admin.csproj,,,FluentValidation.AspNetCore 11.3.0,,,,,"FluentValidation.AspNetCore, 11.3.0  Recommendation:  Should be replaced. Remove FluentValidation.AspNetCore, and replace with new package FluentValidation.AspNetCore, 11.3.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\CarvedRock.Admin.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\Program.cs,43,0,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Home/Error"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\Program.cs,10,0,T:Microsoft.Extensions.DependencyInjection.IdentityServiceCollectionUIExtensions,,,,,builder.Services.AddDefaultIdentity<AdminUser>(options => options.SignIn.RequireConfirmedAccount = true)      .AddEntityFrameworkStores<AdminContext>();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\Program.cs,10,0,"M:Microsoft.Extensions.DependencyInjection.IdentityServiceCollectionUIExtensions.AddDefaultIdentity``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,System.Action{Microsoft.AspNetCore.Identity.IdentityOptions})",,,,,builder.Services.AddDefaultIdentity<AdminUser>(options => options.SignIn.RequireConfirmedAccount = true)      .AddEntityFrameworkStores<AdminContext>();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\Program.cs,10,0,T:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions,,,,,builder.Services.AddDefaultIdentity<AdminUser>(options => options.SignIn.RequireConfirmedAccount = true)      .AddEntityFrameworkStores<AdminContext>();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,CarvedRock.Admin\CarvedRock.Admin.csproj,File,CarvedRock.Admin\Program.cs,10,0,M:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions.AddEntityFrameworkStores``1(Microsoft.AspNetCore.Identity.IdentityBuilder),,,,,builder.Services.AddDefaultIdentity<AdminUser>(options => options.SignIn.RequireConfirmedAccount = true)      .AddEntityFrameworkStores<AdminContext>();
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Api\CarvedRock.Api.csproj,File,CarvedRock.Api\CarvedRock.Api.csproj,,,Microsoft.Extensions.Caching.Memory 9.0.0-rc.1.24431.7,,,,,"Microsoft.Extensions.Caching.Memory, 9.0.0-rc.1.24431.7  Recommendation:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.Api\CarvedRock.Api.csproj,File,CarvedRock.Api\CarvedRock.Api.csproj,,,System.Text.Json 8.0.5,,,,,"System.Text.Json, 8.0.5  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CarvedRock.Api\CarvedRock.Api.csproj,File,CarvedRock.Api\CarvedRock.Api.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.BlazorServerSide\CarvedRock.BlazorServerSide.csproj,File,CarvedRock.BlazorServerSide\CarvedRock.BlazorServerSide.csproj,,,Microsoft.Extensions.Caching.Memory 9.0.0-rc.1.24431.7,,,,,"Microsoft.Extensions.Caching.Memory, 9.0.0-rc.1.24431.7  Recommendation:  Remove Microsoft.Extensions.Caching.Memory, and replace with new package Microsoft.Extensions.Caching.Memory 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,CarvedRock.BlazorServerSide\CarvedRock.BlazorServerSide.csproj,File,CarvedRock.BlazorServerSide\CarvedRock.BlazorServerSide.csproj,,,System.Text.Json 8.0.5,,,,,"System.Text.Json, 8.0.5  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,CarvedRock.BlazorServerSide\CarvedRock.BlazorServerSide.csproj,File,CarvedRock.BlazorServerSide\CarvedRock.BlazorServerSide.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,CarvedRock.BlazorServerSide\CarvedRock.BlazorServerSide.csproj,File,CarvedRock.BlazorServerSide\Program.cs,40,12,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
